#
# Run File created 12/08/2015 5:03:01 PM
#

#
# 
#

# Ch1_Incident WP                     Moving          14.671(x - zero)
# Ch2_Phase WP                        Moving          17.273(x - zero)
# Ch3_OWC WP                          Moving          22.575(x - zero)
# Ch4_OWC Pressure                    Moving          41.623(x - zero)

TITLE="Calibration"
VARIABLES="Time" "Ch1_Incident WP" "Ch2_Phase WP" "Ch3_OWC WP" "Ch4_OWC Pressure" 
ZONE T="Calibration" F=POINT 
0.000000 -0.201395 -0.185819 -0.129875 -0.086480 
1.000000 14.670759 17.272866 22.574672 41.623146 

TITLE="Data"
VARIABLES="Time" "Ch1_Incident WP" "Ch2_Phase WP" "Ch3_OWC WP" "Ch4_OWC Pressure" 
ZONE T="Data" F=POINT 
0.000000 -0.183248 -0.191628 -0.127491 -0.083981 
0.005000 -0.185182 -0.191628 -0.128458 -0.090105 
0.010000 -0.185182 -0.191950 -0.128780 -0.081725 
0.015000 -0.184859 -0.192595 -0.128458 -0.080758 
0.020000 -0.187116 -0.191950 -0.126524 -0.091072 
0.025000 -0.184537 -0.192917 -0.128135 -0.103641 
0.030000 -0.184215 -0.193561 -0.129747 -0.069800 
0.035000 -0.185504 -0.191950 -0.127169 -0.088171 
0.040000 -0.182281 -0.192917 -0.129747 -0.100740 
0.045000 -0.184537 -0.193561 -0.128458 -0.077857 
0.050000 -0.184537 -0.194851 -0.130392 -0.092038 
0.055000 -0.183570 -0.194528 -0.129425 -0.098162 
0.060000 -0.185182 -0.196140 -0.131036 -0.094294 
0.065000 -0.185182 -0.192917 -0.128458 -0.096228 
0.070000 -0.188727 -0.196462 -0.129425 -0.087849 
0.075000 -0.185826 -0.194206 -0.129747 -0.088171 
0.080000 -0.184859 -0.196462 -0.129747 -0.080113 
0.085000 -0.185504 -0.193884 -0.130392 -0.087849 
0.090000 -0.187760 -0.195495 -0.129747 -0.083659 
0.095000 -0.184537 -0.195495 -0.130714 -0.066577 
0.100000 -0.185182 -0.193884 -0.127813 -0.094939 
0.105000 -0.184215 -0.193884 -0.127491 -0.095906 
0.110000 -0.187438 -0.194206 -0.129102 -0.093972 
0.115000 -0.184537 -0.196140 -0.129747 -0.083659 
0.120000 -0.184537 -0.195173 -0.128135 -0.079469 
0.125000 -0.185504 -0.196140 -0.130714 -0.078824 
0.130000 -0.183570 -0.194851 -0.128780 -0.081725 
0.135000 -0.185182 -0.195173 -0.129425 -0.063676 
0.140000 -0.185504 -0.194851 -0.130069 -0.085592 
0.145000 -0.183570 -0.199685 -0.130392 -0.084626 
0.150000 -0.184859 -0.196462 -0.129102 -0.080113 
0.155000 -0.188727 -0.196462 -0.130392 -0.085915 
0.160000 -0.186793 -0.194851 -0.128780 -0.082370 
0.165000 -0.189694 -0.196140 -0.130714 -0.079147 
0.170000 -0.187438 -0.194528 -0.130069 -0.083981 
0.175000 -0.188727 -0.196462 -0.130069 -0.084948 
0.180000 -0.186471 -0.195173 -0.128780 -0.093972 
0.185000 -0.189372 -0.196784 -0.130392 -0.092361 
0.190000 -0.186793 -0.194528 -0.132325 -0.081080 
0.195000 -0.187438 -0.198396 -0.130392 -0.090749 
0.200000 -0.186793 -0.196462 -0.128458 -0.094617 
0.205000 -0.189049 -0.194206 -0.130714 -0.071412 
0.210000 -0.188405 -0.195495 -0.131681 -0.089460 
0.215000 -0.188082 -0.194851 -0.129425 -0.090105 
0.220000 -0.189372 -0.196140 -0.129747 -0.090105 
0.225000 -0.189372 -0.191950 -0.128458 -0.076246 
0.230000 -0.191305 -0.195495 -0.131358 -0.083014 
0.235000 -0.190983 -0.192917 -0.129747 -0.086237 
0.240000 -0.190016 -0.195173 -0.132003 -0.077213 
0.245000 -0.187438 -0.193561 -0.129102 -0.083014 
0.250000 -0.190661 -0.195817 -0.131681 -0.087849 
0.255000 -0.188405 -0.192917 -0.129425 -0.088493 
0.260000 -0.190983 -0.194528 -0.131358 -0.082370 
0.265000 -0.189694 -0.194206 -0.129425 -0.076246 
0.270000 -0.191305 -0.195817 -0.129747 -0.084303 
0.275000 -0.189372 -0.194528 -0.127491 -0.071089 
0.280000 -0.192272 -0.194528 -0.130392 -0.091072 
0.285000 -0.192595 -0.194206 -0.132325 -0.081080 
0.290000 -0.190016 -0.192595 -0.128458 -0.090749 
0.295000 -0.192595 -0.194528 -0.132003 -0.097840 
0.300000 -0.190661 -0.189694 -0.128780 -0.102030 
0.305000 -0.193884 -0.191628 -0.130392 -0.083659 
0.310000 -0.189049 -0.190338 -0.127813 -0.094939 
0.315000 -0.192272 -0.192595 -0.130714 -0.093650 
0.320000 -0.187438 -0.190016 -0.130714 -0.087526 
0.325000 -0.192272 -0.192917 -0.131036 -0.085270 
0.330000 -0.189694 -0.191305 -0.130392 -0.081080 
0.335000 -0.190983 -0.187116 -0.131036 -0.064643 
0.340000 -0.190338 -0.190983 -0.130392 -0.092361 
0.345000 -0.187760 -0.190983 -0.130714 -0.080113 
0.350000 -0.190661 -0.190983 -0.130069 -0.082370 
0.355000 -0.188405 -0.189372 -0.129102 -0.076246 
0.360000 -0.193239 -0.191305 -0.132003 -0.083336 
0.365000 -0.188727 -0.188727 -0.129747 -0.072056 
0.370000 -0.191950 -0.192272 -0.131681 -0.078502 
0.375000 -0.190661 -0.187760 -0.129102 -0.089138 
0.380000 -0.192917 -0.189694 -0.131358 -0.083014 
0.385000 -0.189694 -0.189049 -0.128780 -0.089782 
0.390000 -0.190338 -0.190016 -0.130069 -0.073345 
0.395000 -0.187116 -0.187760 -0.128458 -0.091394 
0.400000 -0.189372 -0.190661 -0.130069 -0.079147 
0.405000 -0.188082 -0.187438 -0.128780 -0.082692 
0.410000 -0.191305 -0.189049 -0.130069 -0.090749 
0.415000 -0.188082 -0.186793 -0.129102 -0.083014 
0.420000 -0.188405 -0.188405 -0.128458 -0.086882 
0.425000 -0.188082 -0.187760 -0.130392 -0.081725 
0.430000 -0.189049 -0.185504 -0.129425 -0.093328 
0.435000 -0.189694 -0.186471 -0.128135 -0.094939 
0.440000 -0.188405 -0.185504 -0.130069 -0.095906 
0.445000 -0.188405 -0.189372 -0.130392 -0.091072 
0.450000 -0.186471 -0.187760 -0.129425 -0.099129 
0.455000 -0.187760 -0.189049 -0.128780 -0.080113 
0.460000 -0.189694 -0.185182 -0.128458 -0.077535 
0.465000 -0.191305 -0.187116 -0.132325 -0.079469 
0.470000 -0.188405 -0.187116 -0.131358 -0.080758 
0.475000 -0.187438 -0.187438 -0.130069 -0.080436 
